Season,Competition,Club,Appearances,Goals,Assists,Yellow cards,Sesond yellow cards,Red cards,Minutes played,Player,Second yellow cards,Goals conceded,Clean sheets
02/03,UEFA Cup,Fulham FC,5,-,,-,,-,450,Edwin van der Sar,-,5,2
02/03,UI Cup,Fulham FC,6,-,,-,,-,540,Edwin van der Sar,-,4,3
00/01,Champions League,Juventus FC,6,-,,-,,-,506,Edwin van der Sar,1,10,1
99/00,UEFA Cup,Juventus FC,5,-,,-,,-,450,Edwin van der Sar,-,8,1
99/00,UI Cup,Juventus FC,6,-,,-,,-,540,Edwin van der Sar,-,4,3
98/99,Champions League,Ajax Amsterdam,6,-,,-,,-,540,Edwin van der Sar,-,6,2
97/98,UEFA Cup,Ajax Amsterdam,8,-,,1,,-,720,Edwin van der Sar,-,12,1
96/97,Champions League,Ajax Amsterdam,10,-,,-,,-,930,Edwin van der Sar,-,13,3
95/96,Champions League,Ajax Amsterdam,11,-,,-,,-,1020,Edwin van der Sar,-,3,8
95/96,UEFA Super Cup,Ajax Amsterdam,2,-,,-,,-,180,Edwin van der Sar,-,1,1
95/96,Intercontinental Cup,Ajax Amsterdam,1,-,,-,,-,120,Edwin van der Sar,-,-,1
94/95,Champions League,Ajax Amsterdam,11,-,,-,,-,990,Edwin van der Sar,-,4,8
93/94,Cup Winners' Cup,Ajax Amsterdam,6,-,,-,,-,540,Edwin van der Sar,-,4,3
92/93,UEFA Cup,Ajax Amsterdam,3,-,,-,,-,270,Edwin van der Sar,-,1,2
91/92,UEFA Cup,Ajax Amsterdam,-,-,,-,,-,-,Edwin van der Sar,-,-,-
09/10,Europa League,Hamburger SV,7,2,-,1,-,-,564,Ruud van Nistelrooy,,,
09/10,Champions League,Real Madrid,1,-,-,-,-,-,8,Ruud van Nistelrooy,,,
08/09,Champions League,Real Madrid,4,3,-,2,-,-,351,Ruud van Nistelrooy,,,
07/08,Champions League,Real Madrid,7,4,4,1,-,-,613,Ruud van Nistelrooy,,,
06/07,Champions League,Real Madrid,7,6,3,-,-,-,584,Ruud van Nistelrooy,,,
05/06,Champions League,Manchester United,6,1,-,1,-,-,530,Ruud van Nistelrooy,,,
05/06,Champions League Qu.,Manchester United,2,1,-,-,-,-,171,Ruud van Nistelrooy,,,
04/05,Champions League,Manchester United,7,8,1,-,-,-,530,Ruud van Nistelrooy,,,
03/04,Champions League,Manchester United,7,4,2,-,-,-,599,Ruud van Nistelrooy,,,
02/03,Champions League,Manchester United,9,12,4,1,-,-,683,Ruud van Nistelrooy,,,
02/03,Champions League Qu.,Manchester United,2,2,-,1,-,-,180,Ruud van Nistelrooy,,,
01/02,Champions League,Manchester United,14,10,3,2,-,-,1212,Ruud van Nistelrooy,,,
99/00,Champions League,PSV Eindhoven,6,3,-,-,-,-,540,Ruud van Nistelrooy,,,
99/00,Champions League Qu.,PSV Eindhoven,2,-,-,1,-,-,180,Ruud van Nistelrooy,,,
98/99,Champions League,PSV Eindhoven,5,5,1,-,-,-,450,Ruud van Nistelrooy,,,
98/99,Champions League Qu.,PSV Eindhoven,2,1,1,2,-,-,210,Ruud van Nistelrooy,,,
97/98,UI Cup,SC Heerenveen,4,-,-,-,-,-,316,Ruud van Nistelrooy,,,
21/22,AFC Champions League,Vissel Kobe,-,-,-,-,-,-,-,Andrés Iniesta,,,
21/22,AFC CL-Qualification,Vissel Kobe,1,1,-,-,-,-,115,Andrés Iniesta,,,
19/20,AFC Champions League,Vissel Kobe,6,2,1,-,-,-,331,Andrés Iniesta,,,
17/18,Champions League,FC Barcelona,8,-,2,-,-,-,622,Andrés Iniesta,,,
16/17,Champions League,FC Barcelona,8,1,2,2,-,-,592,Andrés Iniesta,,,
15/16,Champions League,FC Barcelona,7,-,-,1,-,-,553,Andrés Iniesta,,,
15/16,Club World Cup,FC Barcelona,2,-,1,-,-,-,171,Andrés Iniesta,,,
15/16,UEFA Super Cup,FC Barcelona,1,-,-,-,-,-,63,Andrés Iniesta,,,
14/15,Champions League,FC Barcelona,11,-,5,-,-,-,787,Andrés Iniesta,,,
13/14,Champions League,FC Barcelona,9,-,3,2,-,-,779,Andrés Iniesta,,,
12/13,Champions League,FC Barcelona,10,1,1,1,-,-,803,Andrés Iniesta,,,
11/12,Champions League,FC Barcelona,8,3,1,1,-,-,572,Andrés Iniesta,,,
11/12,Club World Cup,FC Barcelona,2,-,-,-,-,-,180,Andrés Iniesta,,,
11/12,UEFA Super Cup,FC Barcelona,1,-,-,1,-,-,90,Andrés Iniesta,,,
10/11,Champions League,FC Barcelona,10,1,7,3,-,-,899,Andrés Iniesta,,,
09/10,Champions League,FC Barcelona,9,-,1,1,-,-,594,Andrés Iniesta,,,
09/10,Club World Cup,FC Barcelona,1,-,1,-,-,-,76,Andrés Iniesta,,,
08/09,Champions League,FC Barcelona,9,1,2,2,-,-,763,Andrés Iniesta,,,
08/09,Champions League Qu.,FC Barcelona,2,-,1,-,-,-,157,Andrés Iniesta,,,
07/08,Champions League,FC Barcelona,11,1,1,-,-,-,808,Andrés Iniesta,,,
06/07,Champions League,FC Barcelona,8,2,-,-,-,-,482,Andrés Iniesta,,,
06/07,Club World Cup,FC Barcelona,2,-,1,-,-,-,180,Andrés Iniesta,,,
06/07,UEFA Super Cup,FC Barcelona,1,-,-,-,-,-,33,Andrés Iniesta,,,
05/06,Champions League,FC Barcelona,11,1,2,1,-,-,530,Andrés Iniesta,,,
04/05,Champions League,FC Barcelona,8,-,2,-,-,-,306,Andrés Iniesta,,,
03/04,UEFA Cup,FC Barcelona,3,-,1,-,-,-,65,Andrés Iniesta,,,
02/03,Champions League,FC Barcelona,3,-,-,-,-,-,135,Andrés Iniesta,,,
23/24,Conference League,Fenerbahce,2,2,-,-,-,-,102,Edin Džeko,,,
23/24,UECL Qualifiers,Fenerbahce,4,2,3,-,-,-,257,Edin Džeko,,,
22/23,Champions League,Inter Milan,13,4,1,2,-,-,832,Edin Džeko,,,
21/22,Champions League,Inter Milan,7,3,1,-,-,-,541,Edin Džeko,,,
20/21,Europa League,AS Roma,10,6,1,2,-,-,568,Edin Džeko,,,
19/20,Europa League,AS Roma,8,3,3,-,-,-,686,Edin Džeko,,,
18/19,Champions League,AS Roma,6,5,3,2,-,-,570,Edin Džeko,,,
17/18,Champions League,AS Roma,12,8,5,1,-,-,1078,Edin Džeko,,,
16/17,Europa League,AS Roma,8,8,1,-,-,-,523,Edin Džeko,,,
16/17,Champions League Qu.,AS Roma,2,-,-,-,-,-,149,Edin Džeko,,,
15/16,Champions League,AS Roma,7,2,1,-,-,-,481,Edin Džeko,,,
14/15,Champions League,Manchester City,6,-,1,2,-,-,374,Edin Džeko,,,
13/14,Champions League,Manchester City,7,2,1,1,-,-,396,Edin Džeko,,,
12/13,Champions League,Manchester City,6,1,-,1,-,-,386,Edin Džeko,,,
11/12,Europa League,Manchester City,3,1,1,-,-,-,127,Edin Džeko,,,
11/12,Champions League,Manchester City,5,-,2,-,-,-,385,Edin Džeko,,,
10/11,Europa League,Manchester City,4,2,-,1,-,-,278,Edin Džeko,,,
09/10,Europa League,VfL Wolfsburg,6,1,2,1,-,-,570,Edin Džeko,,,
09/10,Champions League,VfL Wolfsburg,6,4,-,-,-,-,540,Edin Džeko,,,
08/09,UEFA Cup,VfL Wolfsburg,8,4,2,1,-,-,720,Edin Džeko,,,
06/07,UI Cup,FK Teplice,2,-,-,-,-,-,180,Edin Džeko,,,
03/04,UEFA Cup,FK Zeljeznicar Sarajevo,1,-,-,-,-,-,27,Edin Džeko,,,
03/04,UEFA-Cup Qualifikation,FK Zeljeznicar Sarajevo,-,-,-,-,-,-,-,Edin Džeko,,,
13/14,Champions League,Manchester United,7,-,1,-,-,-,493,Ryan Giggs,,,
12/13,Champions League,Manchester United,5,-,1,-,-,-,303,Ryan Giggs,,,
11/12,Europa League,Manchester United,2,-,-,-,-,-,143,Ryan Giggs,,,
11/12,Champions League,Manchester United,3,1,2,-,-,-,241,Ryan Giggs,,,
10/11,Champions League,Manchester United,8,1,5,1,-,-,576,Ryan Giggs,,,
09/10,Champions League,Manchester United,3,1,1,-,-,-,107,Ryan Giggs,,,
08/09,Champions League,Manchester United,11,1,3,-,-,-,645,Ryan Giggs,,,
08/09,Club World Cup,Manchester United,1,-,3,-,-,-,90,Ryan Giggs,,,
07/08,Champions League,Manchester United,9,-,2,-,-,-,401,Ryan Giggs,,,
06/07,Champions League,Manchester United,8,2,8,1,-,-,605,Ryan Giggs,,,
05/06,Champions League,Manchester United,4,1,-,-,-,-,244,Ryan Giggs,,,
05/06,Champions League Qu.,Manchester United,1,-,2,-,-,-,90,Ryan Giggs,,,
04/05,Champions League,Manchester United,5,1,1,-,-,-,381,Ryan Giggs,,,
04/05,Champions League Qu.,Manchester United,1,1,-,-,-,-,81,Ryan Giggs,,,
03/04,Champions League,Manchester United,8,1,4,-,-,-,679,Ryan Giggs,,,
02/03,Champions League,Manchester United,13,5,2,-,-,-,966,Ryan Giggs,,,
02/03,Champions League Qu.,Manchester United,2,-,1,-,-,-,180,Ryan Giggs,,,
01/02,Champions League,Manchester United,13,2,4,-,-,-,1154,Ryan Giggs,,,
00/01,Champions League,Manchester United,11,2,4,-,-,-,680,Ryan Giggs,,,
99/00,Champions League,Manchester United,11,1,2,2,-,-,987,Ryan Giggs,,,
99/00,Club World Cup,Manchester United,2,-,-,1,-,-,167,Ryan Giggs,,,
99/00,Intercontinental Cup,Manchester United,1,-,1,-,-,-,90,Ryan Giggs,,,
99/00,UEFA Super Cup,Manchester United,-,-,-,-,-,-,-,Ryan Giggs,,,
98/99,Champions League,Manchester United,7,4,2,-,-,-,586,Ryan Giggs,,,
98/99,Champions League Qu.,Manchester United,2,1,-,-,-,-,155,Ryan Giggs,,,
97/98,Champions League,Manchester United,5,1,2,1,-,-,435,Ryan Giggs,,,
96/97,Champions League,Manchester United,7,2,-,-,-,-,521,Ryan Giggs,,,
95/96,UEFA Cup,Manchester United,2,-,1,-,-,-,180,Ryan Giggs,,,
94/95,Champions League,Manchester United,3,2,-,-,-,-,233,Ryan Giggs,,,
93/94,Champions League,Manchester United,4,-,2,-,-,-,350,Ryan Giggs,,,
