Season,Competition,Club,1 - 15,16 - 30,31 - 45,45+,46 - 60,61 - 75,76 - 90,90+,Extra time,Total,Player
16/17,Champions League,AS Monaco,1,-,-,-,-,-,1,-,,2,Bernardo Silva
16/17,Champions League Qu.,AS Monaco,-,-,-,-,-,1,-,-,,1,Bernardo Silva
15/16,Ligue 1,AS Monaco,2,1,-,-,2,1,1,-,,7,Bernardo Silva
14/15,Ligue 1,AS Monaco,1,1,1,-,-,4,2,-,,9,Bernardo Silva
14/15,Coupe de France,AS Monaco,-,-,1,-,-,-,-,-,,1,Bernardo Silva
13/14,Liga Sabseg,SL Benfica B,2,-,1,-,3,-,1,-,,7,Bernardo Silva
23/24,LaLiga,FC Barcelona,1,-,-,-,-,-,-,-,-,1,Frenkie de Jong
22/23,LaLiga,FC Barcelona,-,-,-,-,1,1,-,-,-,2,Frenkie de Jong
21/22,Europa League,FC Barcelona,1,-,-,-,-,-,-,-,-,1,Frenkie de Jong
21/22,LaLiga,FC Barcelona,-,-,1,-,1,-,1,-,-,3,Frenkie de Jong
20/21,Copa del Rey,FC Barcelona,-,-,-,-,-,1,1,-,1,3,Frenkie de Jong
20/21,LaLiga,FC Barcelona,-,1,2,-,-,-,-,-,-,3,Frenkie de Jong
20/21,Supercopa,FC Barcelona,-,-,1,-,-,-,-,-,-,1,Frenkie de Jong
19/20,LaLiga,FC Barcelona,2,-,-,-,-,-,-,-,-,2,Frenkie de Jong
18/19,Eredivisie,Ajax Amsterdam,-,1,1,-,-,-,-,1,-,3,Frenkie de Jong
17/18,KNVB beker,Ajax Amsterdam,-,1,-,-,-,-,-,-,-,1,Frenkie de Jong
16/17,Eredivisie,Ajax Amsterdam,-,-,-,-,1,-,-,-,-,1,Frenkie de Jong
16/17,Keuken Kampioen Divisie,Ajax Amsterdam U21,-,-,3,-,2,-,1,-,-,6,Frenkie de Jong
15/16,Keuken Kampioen Divisie,Ajax Amsterdam U21,-,-,-,-,2,-,-,-,-,2,Frenkie de Jong
15/16,Beloften Eredivisie,Willem II Tilburg U21,1,-,-,-,-,-,1,-,-,2,Frenkie de Jong
14/15,Beloften Eredivisie,Willem II Tilburg U21,1,1,1,-,-,2,-,-,-,5,Frenkie de Jong
23/24,Premier League,Chelsea FC,-,2,1,-,-,2,-,-,,5,Raheem Sterling
23/24,EFL Cup,Chelsea FC,-,-,-,-,1,-,-,-,,1,Raheem Sterling
22/23,Premier League,Chelsea FC,-,2,-,-,3,1,-,-,,6,Raheem Sterling
22/23,Champions League,Chelsea FC,-,1,1,-,1,-,-,-,,3,Raheem Sterling
21/22,Premier League,Manchester City,1,2,2,-,-,3,4,1,,13,Raheem Sterling
21/22,FA Cup,Manchester City,1,-,-,-,-,-,-,-,,1,Raheem Sterling
21/22,Champions League,Manchester City,-,-,-,-,1,2,-,-,,3,Raheem Sterling
20/21,Premier League,Manchester City,2,3,2,-,1,-,2,-,,10,Raheem Sterling
20/21,FA Cup,Manchester City,-,-,-,-,1,-,-,-,,1,Raheem Sterling
20/21,Champions League,Manchester City,-,-,-,-,-,-,1,-,,1,Raheem Sterling
20/21,EFL Cup,Manchester City,-,-,1,-,1,-,-,-,,2,Raheem Sterling
19/20,Champions League,Manchester City,2,-,-,-,1,3,-,-,,6,Raheem Sterling
19/20,Premier League,Manchester City,1,4,4,1,4,1,3,2,,20,Raheem Sterling
19/20,FA Cup,Manchester City,-,-,-,-,-,1,-,-,,1,Raheem Sterling
19/20,EFL Cup,Manchester City,-,1,-,-,1,1,-,-,,3,Raheem Sterling
19/20,Community Shield,Manchester City,1,-,-,-,-,-,-,-,,1,Raheem Sterling
18/19,FA Cup,Manchester City,1,-,-,-,-,-,2,-,,3,Raheem Sterling
18/19,Champions League,Manchester City,1,1,-,-,2,-,1,-,,5,Raheem Sterling
18/19,Premier League,Manchester City,4,2,-,1,6,3,1,-,,17,Raheem Sterling
17/18,Premier League,Manchester City,2,2,2,-,3,2,5,2,,18,Raheem Sterling
17/18,FA Cup,Manchester City,-,-,1,-,-,-,-,-,,1,Raheem Sterling
17/18,Champions League,Manchester City,1,-,-,-,-,-,2,1,,4,Raheem Sterling
16/17,Premier League,Manchester City,1,1,-,-,1,1,2,1,,7,Raheem Sterling
16/17,Champions League,Manchester City,-,2,-,-,-,-,-,-,,2,Raheem Sterling
16/17,FA Cup,Manchester City,-,-,1,-,-,-,-,-,,1,Raheem Sterling
15/16,Premier League,Manchester City,2,1,-,1,1,1,-,-,,6,Raheem Sterling
15/16,FA Cup,Manchester City,-,-,-,-,-,-,1,-,,1,Raheem Sterling
15/16,Champions League,Manchester City,1,-,-,-,-,-,2,-,,3,Raheem Sterling
15/16,EFL Cup,Manchester City,-,-,1,-,-,-,-,-,,1,Raheem Sterling
14/15,Premier League,Liverpool FC,2,2,-,-,1,2,-,-,,7,Raheem Sterling
14/15,FA Cup,Liverpool FC,-,-,-,-,-,-,1,-,,1,Raheem Sterling
14/15,EFL Cup,Liverpool FC,-,1,-,-,2,-,-,-,,3,Raheem Sterling
13/14,Premier League,Liverpool FC,2,1,1,-,2,1,2,-,,9,Raheem Sterling
13/14,Premier League 2,Liverpool FC U21,-,-,-,-,1,-,-,-,,1,Raheem Sterling
13/14,EFL Cup,Liverpool FC,1,-,-,-,-,-,-,-,,1,Raheem Sterling
12/13,U21 PL Elite Group,Liverpool FC U21,-,1,-,-,-,-,-,-,,1,Raheem Sterling
12/13,Premier League,Liverpool FC,-,2,-,-,-,-,-,-,,2,Raheem Sterling
11/12,Reserve League,Liverpool FC Reserves,3,-,-,-,-,3,-,-,,6,Raheem Sterling
23/24,Bundesliga,Bayern Munich,-,1,-,-,-,-,-,-,,1,Matthijs de Ligt
22/23,Bundesliga,Bayern Munich,-,1,1,-,1,-,-,-,,3,Matthijs de Ligt
21/22,Serie A,Juventus FC,1,-,1,-,-,1,-,-,,3,Matthijs de Ligt
20/21,Serie A,Juventus FC,-,-,-,-,-,1,-,-,,1,Matthijs de Ligt
19/20,Serie A,Juventus FC,-,-,1,-,-,1,1,1,,4,Matthijs de Ligt
18/19,Champions League,Ajax Amsterdam,1,-,-,-,-,1,-,-,,2,Matthijs de Ligt
18/19,Eredivisie,Ajax Amsterdam,-,-,1,-,1,-,1,-,,3,Matthijs de Ligt
18/19,KNVB beker,Ajax Amsterdam,-,-,1,-,-,-,-,-,,1,Matthijs de Ligt
18/19,Champions League Qu.,Ajax Amsterdam,-,-,1,-,-,-,-,-,,1,Matthijs de Ligt
17/18,Eredivisie,Ajax Amsterdam,1,-,2,-,-,-,-,-,,3,Matthijs de Ligt
16/17,Eredivisie,Ajax Amsterdam,-,-,1,-,1,-,-,-,,2,Matthijs de Ligt
16/17,Keuken Kampioen Divisie,Ajax Amsterdam U21,-,-,-,-,-,1,-,-,,1,Matthijs de Ligt
16/17,UEFA Youth League,Ajax Amsterdam UEFA U19,-,1,-,-,-,-,-,-,,1,Matthijs de Ligt
16/17,KNVB beker,Ajax Amsterdam,-,1,-,-,-,-,-,-,,1,Matthijs de Ligt
15/16,U19 Eredivisie,Ajax Amsterdam U19,-,-,-,-,-,1,-,1,,2,Matthijs de Ligt
15/16,UEFA Youth League,Ajax Amsterdam UEFA U19,-,-,1,-,-,-,-,-,,1,Matthijs de Ligt
15/16,Preliminary round U19 Eredivisie,Ajax Amsterdam U19,-,1,-,-,1,-,-,-,,2,Matthijs de Ligt
23/24,Premier League,Liverpool FC,-,-,-,-,-,-,2,-,,2,Trent Alexander-Arnold
22/23,Premier League,Liverpool FC,-,1,-,-,-,1,-,-,,2,Trent Alexander-Arnold
22/23,Champions League,Liverpool FC,1,-,-,-,-,-,-,-,,1,Trent Alexander-Arnold
22/23,Community Shield,Liverpool FC,-,1,-,-,-,-,-,-,,1,Trent Alexander-Arnold
21/22,Premier League,Liverpool FC,-,-,1,-,-,-,1,-,,2,Trent Alexander-Arnold
20/21,Premier League,Liverpool FC,-,-,-,-,1,-,-,1,,2,Trent Alexander-Arnold
19/20,Premier League,Liverpool FC,1,1,1,-,-,-,1,-,,4,Trent Alexander-Arnold
18/19,Premier League,Liverpool FC,-,-,-,-,-,-,1,-,,1,Trent Alexander-Arnold
17/18,Premier League,Liverpool FC,-,-,-,-,-,1,-,-,,1,Trent Alexander-Arnold
17/18,Champions League,Liverpool FC,-,-,-,-,-,-,1,-,,1,Trent Alexander-Arnold
17/18,Champions League Qu.,Liverpool FC,-,-,1,-,-,-,-,-,,1,Trent Alexander-Arnold
16/17,Premier League 2,Liverpool FC U23,-,-,1,-,1,2,-,-,,4,Trent Alexander-Arnold
23/24,Süper Lig,Fenerbahce,-,-,-,1,2,3,1,-,,7,Dušan Tadić
23/24,UECL Qualifiers,Fenerbahce,-,-,-,-,1,-,-,3,,4,Dušan Tadić
22/23,Eredivisie,Ajax Amsterdam,3,3,2,-,-,2,1,-,,11,Dušan Tadić
22/23,KNVB beker,Ajax Amsterdam,1,1,-,-,-,-,-,-,,2,Dušan Tadić
21/22,Eredivisie,Ajax Amsterdam,1,2,3,1,1,1,3,1,,13,Dušan Tadić
21/22,Champions League,Ajax Amsterdam,-,1,-,-,-,1,-,-,,2,Dušan Tadić
21/22,KNVB beker,Ajax Amsterdam,-,-,-,-,1,-,-,-,,1,Dušan Tadić
20/21,Eredivisie,Ajax Amsterdam,2,2,3,-,2,1,3,1,,14,Dušan Tadić
20/21,Europa League,Ajax Amsterdam,-,-,-,-,1,-,2,-,,3,Dušan Tadić
20/21,KNVB beker,Ajax Amsterdam,1,-,-,-,-,1,1,-,,3,Dušan Tadić
20/21,Champions League,Ajax Amsterdam,1,1,-,-,-,-,-,-,,2,Dušan Tadić
19/20,Eredivisie,Ajax Amsterdam,2,1,-,-,6,2,-,-,,11,Dušan Tadić
19/20,KNVB beker,Ajax Amsterdam,-,-,-,-,1,-,1,-,,2,Dušan Tadić
19/20,Champions League Qu.,Ajax Amsterdam,-,-,1,-,-,-,2,-,,3,Dušan Tadić
18/19,Eredivisie,Ajax Amsterdam,2,3,3,1,5,5,9,-,,28,Dušan Tadić
18/19,Champions League,Ajax Amsterdam,-,-,-,-,-,5,1,-,,6,Dušan Tadić
18/19,KNVB beker,Ajax Amsterdam,1,-,-,-,-,-,-,-,,1,Dušan Tadić
18/19,Champions League Qu.,Ajax Amsterdam,-,-,2,-,1,-,-,-,,3,Dušan Tadić
17/18,Premier League,Southampton FC,-,3,1,-,1,-,1,-,,6,Dušan Tadić
17/18,FA Cup,Southampton FC,-,-,-,-,1,-,-,-,,1,Dušan Tadić
16/17,Premier League,Southampton FC,-,1,-,-,-,1,1,-,,3,Dušan Tadić
15/16,Premier League,Southampton FC,-,-,1,-,1,6,-,-,,8,Dušan Tadić
15/16,Europa League Qualifying,Southampton FC,-,-,-,1,-,-,-,-,,1,Dušan Tadić
14/15,Premier League,Southampton FC,-,1,-,-,1,1,1,-,,4,Dušan Tadić
14/15,EFL Cup,Southampton FC,-,1,-,-,-,-,-,-,,1,Dušan Tadić
13/14,Eredivisie,Twente Enschede FC,1,1,1,1,4,4,3,1,,16,Dušan Tadić
12/13,Play-Offs Conference League,Twente Enschede FC,-,-,1,-,-,-,-,-,,1,Dušan Tadić
12/13,Eredivisie,Twente Enschede FC,1,-,2,-,5,2,2,-,,12,Dušan Tadić
12/13,Europa League,Twente Enschede FC,-,-,-,-,-,1,-,-,,1,Dušan Tadić
12/13,Europa League Qualifying,Twente Enschede FC,-,-,-,-,-,2,-,-,,2,Dušan Tadić
11/12,Eredivisie,FC Groningen,2,-,2,-,-,1,1,1,,7,Dušan Tadić
10/11,Eredivisie,FC Groningen,2,1,-,-,1,-,2,1,,7,Dušan Tadić
09/10,Super liga Srbije,FK Vojvodina Novi Sad,-,1,1,-,3,4,1,-,,10,Dušan Tadić
09/10,Europa League Qualifying,FK Vojvodina Novi Sad,-,-,-,-,1,-,-,-,,1,Dušan Tadić
08/09,Super liga Srbije,FK Vojvodina Novi Sad,4,2,1,-,-,-,2,-,,9,Dušan Tadić
07/08,Super liga Srbije,FK Vojvodina Novi Sad,-,2,-,-,-,-,2,3,,7,Dušan Tadić
23/24,Premier League,Tottenham Hotspur,1,1,3,-,1,3,1,-,,10,Son Heung-min
22/23,Premier League,Tottenham Hotspur,2,-,-,-,-,4,4,-,,10,Son Heung-min
22/23,FA Cup,Tottenham Hotspur,-,-,-,-,1,1,-,-,,2,Son Heung-min
22/23,Champions League,Tottenham Hotspur,-,1,1,-,-,-,-,-,,2,Son Heung-min
21/22,Premier League,Tottenham Hotspur,1,2,1,1,5,8,5,-,,23,Son Heung-min
21/22,Conference League,Tottenham Hotspur,1,-,-,-,-,-,-,-,,1,Son Heung-min
20/21,Premier League,Tottenham Hotspur,4,1,4,1,2,2,3,-,,17,Son Heung-min
20/21,Europa League,Tottenham Hotspur,1,-,-,-,1,-,1,-,,3,Son Heung-min
20/21,EFL Cup,Tottenham Hotspur,-,-,-,-,-,1,-,-,,1,Son Heung-min
20/21,Europa League Qualifying,Tottenham Hotspur,-,-,-,-,-,1,-,-,,1,Son Heung-min
19/20,Premier League,Tottenham Hotspur,1,3,2,1,1,1,1,1,,11,Son Heung-min
19/20,FA Cup,Tottenham Hotspur,-,-,-,-,1,-,1,-,,2,Son Heung-min
19/20,Champions League,Tottenham Hotspur,1,1,1,-,1,1,-,-,,5,Son Heung-min
18/19,Champions League,Tottenham Hotspur,2,-,-,-,1,-,1,-,,4,Son Heung-min
18/19,Premier League,Tottenham Hotspur,-,3,-,1,3,2,2,1,,12,Son Heung-min
18/19,FA Cup,Tottenham Hotspur,-,-,-,-,1,-,-,-,,1,Son Heung-min
18/19,EFL Cup,Tottenham Hotspur,-,2,-,-,1,-,-,-,,3,Son Heung-min
17/18,Premier League,Tottenham Hotspur,1,3,-,-,3,2,3,-,,12,Son Heung-min
17/18,Champions League,Tottenham Hotspur,1,-,2,-,-,-,1,-,,4,Son Heung-min
17/18,FA Cup,Tottenham Hotspur,-,1,-,-,-,1,-,-,,2,Son Heung-min
16/17,Premier League,Tottenham Hotspur,1,2,3,1,2,1,3,1,,14,Son Heung-min
16/17,FA Cup,Tottenham Hotspur,-,-,1,-,2,-,1,2,,6,Son Heung-min
16/17,Champions League,Tottenham Hotspur,-,-,-,-,-,1,-,-,,1,Son Heung-min
15/16,Premier League,Tottenham Hotspur,-,1,1,-,-,1,1,-,,4,Son Heung-min
15/16,Europa League,Tottenham Hotspur,-,2,-,-,-,1,-,-,,3,Son Heung-min
15/16,FA Cup,Tottenham Hotspur,-,-,1,-,-,-,-,-,,1,Son Heung-min
14/15,Bundesliga,Bayer 04 Leverkusen,3,-,1,-,2,3,1,1,,11,Son Heung-min
14/15,Champions League,Bayer 04 Leverkusen,-,-,1,-,-,2,-,-,,3,Son Heung-min
14/15,Champions League Qu.,Bayer 04 Leverkusen,1,-,1,-,-,-,-,-,,2,Son Heung-min
14/15,DFB-Pokal,Bayer 04 Leverkusen,-,-,-,-,-,-,1,-,,1,Son Heung-min
13/14,Bundesliga,Bayer 04 Leverkusen,1,2,1,-,3,1,2,-,,10,Son Heung-min
13/14,DFB-Pokal,Bayer 04 Leverkusen,-,-,-,-,-,2,-,-,,2,Son Heung-min
12/13,Bundesliga,Hamburger SV,2,4,-,-,1,3,2,-,,12,Son Heung-min
11/12,Bundesliga,Hamburger SV,2,-,-,-,1,2,-,-,,5,Son Heung-min
10/11,Bundesliga,Hamburger SV,-,1,1,-,1,-,-,-,,3,Son Heung-min
09/10,U19-BL N/NE,Hamburger SV U19,2,1,-,-,1,-,2,-,,6,Son Heung-min
09/10,RL Nord,Hamburger SV II,-,-,-,-,-,1,-,-,,1,Son Heung-min
08/09,U17-BL N/NE,Hamburger SV U17,2,-,-,-,5,1,1,-,,9,Son Heung-min
23/24,Saudi Pro League,Al-Hilal SFC,-,-,-,-,-,1,-,-,,1,Kalidou Koulibaly
22/23,Premier League,Chelsea FC,-,1,-,-,1,-,-,-,,2,Kalidou Koulibaly
21/22,Serie A,SSC Napoli,1,-,-,-,1,-,1,-,,3,Kalidou Koulibaly
20/21,Italy Cup,SSC Napoli,1,-,-,-,-,-,-,-,,1,Kalidou Koulibaly
18/19,Serie A,SSC Napoli,1,-,-,-,-,-,1,-,,2,Kalidou Koulibaly
17/18,Serie A,SSC Napoli,1,-,-,-,2,1,1,-,,5,Kalidou Koulibaly
16/17,Serie A,SSC Napoli,1,-,-,-,1,-,-,-,,2,Kalidou Koulibaly
14/15,Serie A,SSC Napoli,1,-,-,-,-,-,-,-,,1,Kalidou Koulibaly
13/14,Jupiler Pro League,KRC Genk,-,-,-,1,1,-,-,-,,2,Kalidou Koulibaly
12/13,Jupiler Pro League,KRC Genk,-,-,-,-,-,1,-,-,,1,Kalidou Koulibaly
10/11,Ligue 2,FC Metz,-,-,1,-,-,-,-,-,,1,Kalidou Koulibaly
23/24,Saudi Pro League,Al-Ettifaq FC,1,1,1,-,-,1,1,-,,5,Georginio Wijnaldum
23/24,King's Cup,Al-Ettifaq FC,-,1,-,-,-,-,-,-,,1,Georginio Wijnaldum
22/23,Serie A,AS Roma,-,-,-,-,1,-,-,1,,2,Georginio Wijnaldum
21/22,Ligue 1,Paris Saint-Germain,-,-,-,-,-,-,-,1,,1,Georginio Wijnaldum
21/22,Champions League,Paris Saint-Germain,-,1,1,-,-,-,-,-,,2,Georginio Wijnaldum
20/21,Premier League,Liverpool FC,-,-,-,-,1,-,1,-,,2,Georginio Wijnaldum
20/21,FA Cup,Liverpool FC,-,-,-,-,1,-,-,-,,1,Georginio Wijnaldum
19/20,Premier League,Liverpool FC,1,-,1,-,-,1,1,-,,4,Georginio Wijnaldum
19/20,Champions League,Liverpool FC,1,-,1,-,-,-,-,-,,2,Georginio Wijnaldum
18/19,Champions League,Liverpool FC,-,-,-,-,2,-,-,-,,2,Georginio Wijnaldum
18/19,Premier League,Liverpool FC,-,-,2,-,1,-,-,-,,3,Georginio Wijnaldum
17/18,Champions League,Liverpool FC,-,1,-,-,-,-,-,-,,1,Georginio Wijnaldum
17/18,Premier League,Liverpool FC,-,-,-,-,-,1,-,-,,1,Georginio Wijnaldum
16/17,Premier League,Liverpool FC,1,-,-,2,1,-,-,2,,6,Georginio Wijnaldum
15/16,Premier League,Newcastle United,2,2,1,-,2,2,1,1,,11,Georginio Wijnaldum
14/15,Eredivisie,PSV Eindhoven,2,2,1,2,3,2,1,1,,14,Georginio Wijnaldum
14/15,Europa League,PSV Eindhoven,-,-,-,-,-,-,2,-,,2,Georginio Wijnaldum
14/15,KNVB beker,PSV Eindhoven,-,-,-,-,1,-,1,-,,2,Georginio Wijnaldum
13/14,Keuken Kampioen Divisie,PSV Eindhoven U21,1,-,-,-,-,1,-,-,,2,Georginio Wijnaldum
13/14,Eredivisie,PSV Eindhoven,1,-,-,-,-,3,-,-,,4,Georginio Wijnaldum
12/13,Eredivisie,PSV Eindhoven,1,1,1,-,1,5,5,-,,14,Georginio Wijnaldum
12/13,Europa League,PSV Eindhoven,-,1,-,-,-,-,-,-,,1,Georginio Wijnaldum
12/13,KNVB beker,PSV Eindhoven,-,-,-,-,-,1,-,-,,1,Georginio Wijnaldum
12/13,Europa League Qualifying,PSV Eindhoven,-,-,1,-,-,1,1,-,,3,Georginio Wijnaldum
12/13,Johan Cruijff Schaal,PSV Eindhoven,-,-,-,-,-,-,-,1,,1,Georginio Wijnaldum
11/12,Eredivisie,PSV Eindhoven,1,1,-,-,5,1,1,-,,9,Georginio Wijnaldum
11/12,KNVB beker,PSV Eindhoven,-,1,-,-,1,-,-,-,,2,Georginio Wijnaldum
11/12,Europa League,PSV Eindhoven,1,-,-,-,-,1,1,-,,3,Georginio Wijnaldum
11/12,Europa League Qualifying,PSV Eindhoven,-,-,-,-,-,1,-,-,,1,Georginio Wijnaldum
10/11,Eredivisie,Feyenoord Rotterdam,-,3,1,-,1,6,3,-,,14,Georginio Wijnaldum
09/10,Eredivisie,Feyenoord Rotterdam,-,2,-,-,-,1,1,-,,4,Georginio Wijnaldum
09/10,KNVB beker,Feyenoord Rotterdam,-,-,1,-,-,-,-,-,,1,Georginio Wijnaldum
08/09,Eredivisie,Feyenoord Rotterdam,-,-,1,-,2,1,-,-,,4,Georginio Wijnaldum
08/09,UEFA Cup,Feyenoord Rotterdam,-,1,-,-,-,-,-,-,,1,Georginio Wijnaldum
07/08,Eredivisie,Feyenoord Rotterdam,-,-,-,-,-,1,-,-,,1,Georginio Wijnaldum
23/24,LaLiga,FC Barcelona,-,2,-,-,-,-,-,-,,2,João Félix
23/24,Champions League,FC Barcelona,1,-,-,-,1,1,-,-,,3,João Félix
22/23,Premier League,Chelsea FC,-,1,-,-,1,-,2,-,,4,João Félix
22/23,LaLiga,Atlético de Madrid,-,-,-,-,1,-,3,-,,4,João Félix
22/23,Copa del Rey,Atlético de Madrid,-,-,-,-,-,1,-,-,,1,João Félix
21/22,LaLiga,Atlético de Madrid,5,-,-,-,-,1,2,-,,8,João Félix
21/22,Champions League,Atlético de Madrid,1,-,-,-,-,-,-,-,,1,João Félix
21/22,Copa del Rey,Atlético de Madrid,-,-,-,-,-,-,1,-,,1,João Félix
20/21,LaLiga,Atlético de Madrid,1,1,1,-,-,3,1,-,,7,João Félix
20/21,Champions League,Atlético de Madrid,-,1,-,-,1,-,1,-,,3,João Félix
19/20,Champions League,Atlético de Madrid,-,1,-,-,1,1,-,-,,3,João Félix
19/20,LaLiga,Atlético de Madrid,-,2,1,-,1,2,-,-,,6,João Félix
18/19,Liga Portugal,SL Benfica,2,2,5,1,2,2,1,-,,15,João Félix
18/19,Europa League,SL Benfica,-,1,1,-,1,-,-,-,,3,João Félix
18/19,Taça de Portugal,SL Benfica,1,-,-,-,-,-,-,-,,1,João Félix
18/19,Allianz Cup,SL Benfica,-,-,1,-,-,-,-,-,,1,João Félix
17/18,Liga Sabseg,SL Benfica B,-,-,1,-,1,1,1,-,,4,João Félix
17/18,UEFA Youth League,SL Benfica Youth League,1,-,-,-,-,-,-,-,,1,João Félix
16/17,Liga Sabseg,SL Benfica B,-,-,-,-,1,1,-,1,,3,João Félix
16/17,UEFA Youth League,SL Benfica Youth League,1,3,-,-,2,-,-,-,,6,João Félix
22/23,Ligue 1,Paris Saint-Germain,1,-,1,-,-,-,-,-,,2,Marquinhos
21/22,Ligue 1,Paris Saint-Germain,1,-,-,1,-,1,1,1,,5,Marquinhos
20/21,Ligue 1,Paris Saint-Germain,-,-,-,-,1,2,-,-,,3,Marquinhos
20/21,Champions League,Paris Saint-Germain,1,1,-,-,-,1,-,-,,3,Marquinhos
19/20,Champions League,Paris Saint-Germain,1,-,-,-,-,-,1,-,,2,Marquinhos
19/20,Ligue 1,Paris Saint-Germain,-,-,-,1,-,1,1,-,,3,Marquinhos
19/20,Coupe de la Ligue,Paris Saint-Germain,1,-,-,-,-,-,-,-,,1,Marquinhos
18/19,Ligue 1,Paris Saint-Germain,2,-,-,-,-,-,1,-,,3,Marquinhos
18/19,Champions League,Paris Saint-Germain,-,-,-,-,-,1,-,-,,1,Marquinhos
17/18,Coupe de la Ligue,Paris Saint-Germain,-,-,-,-,1,-,-,-,,1,Marquinhos
17/18,Coupe de France,Paris Saint-Germain,-,-,-,-,-,-,1,-,,1,Marquinhos
16/17,Ligue 1,Paris Saint-Germain,1,-,-,-,-,1,1,-,,3,Marquinhos
16/17,Coupe de France,Paris Saint-Germain,-,-,-,-,-,-,1,-,,1,Marquinhos
15/16,Ligue 1,Paris Saint-Germain,-,-,-,-,1,-,-,-,,1,Marquinhos
15/16,Coupe de France,Paris Saint-Germain,-,-,1,-,-,-,-,-,,1,Marquinhos
14/15,Ligue 1,Paris Saint-Germain,-,-,-,-,2,-,-,-,,2,Marquinhos
13/14,Ligue 1,Paris Saint-Germain,-,-,2,-,-,-,-,-,,2,Marquinhos
13/14,Champions League,Paris Saint-Germain,1,1,-,-,-,-,1,-,,3,Marquinhos
21/22,Premier League,Everton FC,-,-,-,1,-,-,-,-,,1,Donny van de Beek
21/22,Premier League,Manchester United,-,-,-,-,1,-,-,-,,1,Donny van de Beek
20/21,Premier League,Manchester United,-,-,-,-,-,-,1,-,,1,Donny van de Beek
19/20,Eredivisie,Ajax Amsterdam,2,3,2,-,-,1,-,-,,8,Donny van de Beek
19/20,Champions League,Ajax Amsterdam,-,-,-,-,1,1,-,-,,2,Donny van de Beek
18/19,Eredivisie,Ajax Amsterdam,3,-,2,1,2,-,-,1,,9,Donny van de Beek
18/19,Champions League,Ajax Amsterdam,1,-,1,-,-,-,1,-,,3,Donny van de Beek
18/19,KNVB beker,Ajax Amsterdam,-,2,1,-,-,1,-,-,,4,Donny van de Beek
18/19,Champions League Qu.,Ajax Amsterdam,1,-,-,-,-,-,-,-,,1,Donny van de Beek
17/18,Eredivisie,Ajax Amsterdam,1,3,1,-,2,3,1,-,,11,Donny van de Beek
17/18,Champions League Qu.,Ajax Amsterdam,-,1,-,-,1,-,-,-,,2,Donny van de Beek
16/17,Keuken Kampioen Divisie,Ajax Amsterdam U21,1,-,2,-,2,1,-,-,,6,Donny van de Beek
15/16,Keuken Kampioen Divisie,Ajax Amsterdam U21,-,-,1,-,-,1,-,-,,2,Donny van de Beek
15/16,UEFA Youth League,Ajax Amsterdam UEFA U19,-,1,-,-,1,-,-,-,,2,Donny van de Beek
15/16,Europa League,Ajax Amsterdam,1,-,-,-,-,-,-,-,,1,Donny van de Beek
14/15,U19 Eredivisie,Ajax Amsterdam U19,1,1,1,-,-,-,2,1,,6,Donny van de Beek
14/15,UEFA Youth League,Ajax Amsterdam UEFA U19,1,1,-,-,1,1,-,-,,4,Donny van de Beek
14/15,Preliminary round U19 Eredivisie,Ajax Amsterdam U19,-,1,-,-,1,-,-,-,,2,Donny van de Beek
13/14,U19 Eredivisie,Ajax Amsterdam U19,1,-,1,-,-,-,-,-,,2,Donny van de Beek
23/24,Champions League,Arsenal FC,-,-,-,-,-,-,1,-,-,1,Jorginho
22/23,Premier League,Chelsea FC,-,-,-,1,-,-,1,-,-,2,Jorginho
22/23,Champions League,Chelsea FC,-,1,-,-,-,-,-,-,-,1,Jorginho
21/22,Premier League,Chelsea FC,-,-,1,-,1,1,1,2,-,6,Jorginho
21/22,EFL Cup,Chelsea FC,-,-,-,-,-,-,1,-,-,1,Jorginho
21/22,Champions League,Chelsea FC,-,1,-,-,1,-,-,-,-,2,Jorginho
20/21,Premier League,Chelsea FC,-,2,-,-,1,2,2,-,-,7,Jorginho
20/21,Champions League,Chelsea FC,-,1,-,-,-,-,-,-,-,1,Jorginho
19/20,Premier League,Chelsea FC,-,2,-,-,1,-,1,-,-,4,Jorginho
19/20,Champions League,Chelsea FC,1,-,-,-,-,1,-,-,-,2,Jorginho
19/20,UEFA Super Cup,Chelsea FC,-,-,-,-,-,-,-,-,1,1,Jorginho
18/19,Premier League,Chelsea FC,-,-,2,-,-,-,-,-,-,2,Jorginho
17/18,Serie A,SSC Napoli,-,-,1,-,-,-,-,1,-,2,Jorginho
17/18,Champions League,SSC Napoli,-,-,-,-,-,1,-,-,-,1,Jorginho
17/18,Champions League Qu.,SSC Napoli,-,-,-,-,-,1,-,-,-,1,Jorginho
14/15,Italy Cup,SSC Napoli,-,-,-,-,-,1,-,-,-,1,Jorginho
13/14,Italy Cup,SSC Napoli,-,-,-,-,1,-,-,-,-,1,Jorginho
13/14,Serie A,Hellas Verona,-,-,-,-,-,4,2,1,-,7,Jorginho
12/13,Serie B,Hellas Verona,1,-,-,-,-,1,-,-,-,2,Jorginho
11/12,Serie B,Hellas Verona,-,-,1,-,1,-,-,-,-,2,Jorginho
10/11,Lega Pro 2 - A,AC Sambonifacese,1,-,-,-,-,-,-,-,-,1,Jorginho
23/24,Champions League,Manchester City,-,1,-,-,2,1,1,-,-,5,Erling Haaland
