Season,Competition,Club,1 - 15,16 - 30,31 - 45,45+,46 - 60,61 - 75,76 - 90,90+,Extra time,Total,Player
2018,Emperor's Cup,Sagan Tosu,-,-,-,-,-,-,1,-,-,1,Fernando Torres
17/18,LaLiga,Atlético de Madrid,-,-,1,-,1,2,1,-,-,5,Fernando Torres
17/18,Europa League,Atlético de Madrid,-,-,-,-,-,2,-,-,-,2,Fernando Torres
17/18,Copa del Rey,Atlético de Madrid,-,-,2,-,-,1,-,-,-,3,Fernando Torres
16/17,LaLiga,Atlético de Madrid,4,-,-,-,1,1,-,2,-,8,Fernando Torres
16/17,Champions League,Atlético de Madrid,-,-,-,-,-,-,1,-,-,1,Fernando Torres
16/17,Copa del Rey,Atlético de Madrid,-,-,1,-,-,-,-,-,-,1,Fernando Torres
15/16,LaLiga,Atlético de Madrid,2,-,3,-,3,1,1,1,-,11,Fernando Torres
15/16,Champions League,Atlético de Madrid,-,1,-,-,-,-,-,-,-,1,Fernando Torres
14/15,LaLiga,Atlético de Madrid,1,-,-,-,-,1,1,-,-,3,Fernando Torres
14/15,Copa del Rey,Atlético de Madrid,2,-,-,-,1,-,-,-,-,3,Fernando Torres
14/15,Serie A,AC Milan,-,-,1,-,-,-,-,-,-,1,Fernando Torres
13/14,Premier League,Chelsea FC,-,1,-,-,1,1,2,-,-,5,Fernando Torres
13/14,Champions League,Chelsea FC,2,-,1,-,-,1,-,-,-,4,Fernando Torres
13/14,EFL Cup,Chelsea FC,-,1,-,-,-,-,-,-,-,1,Fernando Torres
13/14,UEFA Super Cup,Chelsea FC,1,-,-,-,-,-,-,-,-,1,Fernando Torres
12/13,Premier League,Chelsea FC,3,1,-,2,-,-,2,-,-,8,Fernando Torres
12/13,Europa League,Chelsea FC,1,1,-,-,2,2,-,-,-,6,Fernando Torres
12/13,FA Cup,Chelsea FC,-,-,-,-,-,-,1,-,-,1,Fernando Torres
12/13,EFL Cup,Chelsea FC,-,-,-,-,1,-,1,-,-,2,Fernando Torres
12/13,Club World Cup,Chelsea FC,-,-,-,-,1,-,-,-,-,1,Fernando Torres
12/13,Champions League,Chelsea FC,1,-,-,1,1,-,-,-,-,3,Fernando Torres
12/13,Community Shield,Chelsea FC,-,-,1,-,-,-,-,-,-,1,Fernando Torres
